Usia,Pendapatan_Bulanan,Lama_Bekerja_Tahun,Jumlah_Tanggungan,Skor_Kredit_Internal,Jumlah_Pinjaman_Diminta,Rasio_Utang_Pendapatan,Jml_Keterlambatan_Bayar_12bln,Durasi_Pinjaman_Bulan,Tujuan_Pinjaman,Status_Kepemilikan_Rumah,Jenis_Pekerjaan,Pendidikan_Terakhir,Status_Pernikahan,Status_Pinjaman
45,2900000,0,3,491,7000000,35,3,6,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
31,8700000,1,2,553,4000000,45,2,6,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
40,6800000,1,1,682,2500000,47,1,6,Produktif,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
39,2400000,5,3,820,3500000,20,3,6,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
47,9900000,0,0,709,6000000,22,1,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Bercerai,Macet
24,8100000,0,1,769,2000000,50,5,6,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Menikah,Macet
42,6000000,1,2,629,5000000,5,1,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
29,8000000,6,2,850,500000,50,8,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Macet
44,5400000,0,1,711,5000000,41,2,12,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
35,10300000,1,5,332,2500000,50,0,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Macet
32,5000000,8,3,850,2500000,32,4,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Macet
31,10200000,5,2,494,3500000,17,6,12,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
22,8000000,4,2,630,3500000,36,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
31,9400000,4,1,545,4500000,5,2,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Macet
37,7400000,1,1,544,1500000,20,2,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
24,6200000,4,1,478,2000000,50,2,12,Produktif,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
22,9500000,5,2,730,4500000,50,2,6,Konsumtif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Macet
40,8300000,2,3,300,3500000,34,0,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Belum Menikah,Lancar
39,8000000,10,4,850,3500000,50,5,6,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
35,6900000,5,1,690,4000000,14,1,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
33,4700000,6,3,710,4000000,43,2,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Lancar
14,6400000,4,3,513,2500000,34,1,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Macet
34,8800000,2,1,637,3000000,50,3,12,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Macet
51,8500000,4,0,674,4500000,27,0,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
37,7200000,3,3,500,4500000,50,4,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
24,6000000,0,1,632,5000000,40,2,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
23,6300000,4,1,717,5500000,28,3,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
35,5300000,7,2,744,4000000,31,3,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Lancar
29,9600000,6,2,795,4500000,50,2,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
54,2600000,6,0,778,3000000,10,0,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
26,6700000,0,2,585,4000000,50,4,12,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
35,7800000,3,2,385,5000000,5,1,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
32,7600000,0,1,369,4000000,33,3,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
37,4100000,2,3,636,1000000,40,3,6,Produktif,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
51,8400000,6,0,701,4000000,5,2,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Macet
37,4500000,1,1,815,3000000,21,3,6,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Bercerai,Lancar
46,4900000,2,2,557,7500000,23,0,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
27,8700000,1,3,614,2500000,50,3,6,Produktif,Sewa,Pemerintahan,S2/S3,Menikah,Macet
39,2600000,5,4,708,5000000,26,0,6,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
25,7300000,1,0,461,5000000,50,3,6,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
41,6000000,1,2,497,5000000,50,2,6,Produktif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
35,8100000,5,3,503,4500000,5,6,6,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
25,8400000,2,2,782,4500000,50,3,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Menikah,Macet
24,9200000,4,2,595,3000000,50,4,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Macet
37,5100000,5,4,850,1500000,16,0,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
32,6200000,8,0,850,3500000,31,2,12,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Macet
42,5900000,1,2,753,6500000,26,2,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
44,7800000,1,0,797,5000000,50,8,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
33,4500000,4,3,843,5000000,5,2,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
48,7800000,3,0,599,5000000,22,1,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
38,9000000,0,2,335,6000000,25,4,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
46,8000000,4,2,562,4500000,11,9,6,Konsumtif,Sewa,Swasta,Diploma/S1,Menikah,Lancar
25,6400000,4,4,351,4000000,39,0,6,Pendidikan,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
15,5600000,5,3,776,3500000,50,0,12,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Macet
38,6200000,2,2,442,4000000,50,2,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
33,8600000,2,1,484,1500000,50,0,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
33,7300000,5,2,633,4500000,50,5,12,Konsumtif,Sewa,Swasta,Diploma/S1,Menikah,Macet
16,8500000,0,3,592,5000000,50,3,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Macet
43,6100000,0,2,410,6000000,34,1,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
42,7200000,12,5,850,5000000,50,3,12,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
28,4800000,2,0,639,5500000,26,5,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
40,11000000,6,2,850,5500000,38,5,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
34,7200000,5,3,844,4500000,45,3,6,Produktif,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
27,6200000,3,2,557,4500000,50,1,24,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
60,3700000,5,6,850,1000000,37,0,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
39,6800000,4,2,716,2000000,31,3,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Macet
22,7200000,4,3,551,1500000,36,0,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
38,5700000,9,3,845,5500000,46,3,6,Pendidikan,Dengan Orang Tua,Swasta,S2/S3,Menikah,Lancar
38,4800000,5,0,483,2000000,50,1,24,Konsumtif,Sewa,Pemerintahan,S2/S3,Menikah,Lancar
29,8700000,5,2,583,5000000,50,5,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Belum Menikah,Lancar
44,7000000,9,2,844,4500000,19,0,6,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
33,9300000,0,1,527,6000000,18,2,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
28,5100000,5,1,300,4000000,50,3,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
56,6200000,8,1,850,2000000,25,0,6,Pendidikan,Dengan Orang Tua,Pemerintahan,Diploma/S1,Bercerai,Lancar
51,6400000,5,4,679,3500000,26,8,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
23,7400000,3,4,684,3000000,50,4,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
33,9700000,11,5,850,2500000,50,6,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
30,5000000,2,2,616,3500000,50,1,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
32,10700000,4,1,503,3500000,50,2,12,Produktif,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
44,5500000,0,1,300,3000000,37,0,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
36,8000000,0,2,788,4000000,15,1,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Lancar
37,7400000,0,2,483,3500000,10,0,12,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Lancar
45,6800000,3,4,814,6000000,5,2,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
36,5300000,1,1,708,6000000,50,3,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
35,4700000,3,2,564,5500000,46,0,6,Produktif,Milik Sendiri,Swasta,S2/S3,Belum Menikah,Macet
32,3900000,1,1,493,6500000,23,3,6,Konsumtif,Sewa,Swasta,S2/S3,Menikah,Lancar
54,8000000,2,1,615,4500000,17,8,6,Konsumtif,Sewa,Swasta,Diploma/S1,Bercerai,Lancar
31,4800000,0,0,300,4000000,50,3,12,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
13,6400000,8,3,658,3000000,36,0,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Macet
37,2800000,4,3,527,2500000,11,3,6,Pendidikan,Sewa,Swasta,SMA/Sederajat,Bercerai,Lancar
46,6600000,4,3,579,6000000,8,1,6,Produktif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Macet
41,5900000,0,1,628,2500000,50,4,6,Pendidikan,Sewa,Swasta,S2/S3,Menikah,Macet
45,6600000,6,2,850,2000000,30,1,12,Produktif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
30,9100000,3,0,300,3000000,49,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Lancar
32,9400000,2,3,539,6500000,50,4,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
29,8900000,5,3,659,500000,29,3,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Menikah,Lancar
41,9600000,5,3,631,2500000,16,6,12,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
31,10700000,5,3,694,7500000,50,3,6,Pendidikan,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Lancar
27,4200000,0,3,570,3500000,49,1,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Macet
49,5200000,1,1,340,4500000,21,2,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Lancar
41,5400000,1,1,649,3000000,37,0,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Macet
28,7500000,1,1,850,3500000,46,3,12,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Macet
45,8600000,1,0,507,4500000,45,1,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Lancar
28,6000000,5,3,850,3000000,50,6,6,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Macet
44,11100000,1,2,414,3500000,50,0,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
30,6800000,7,4,703,4500000,50,9,6,Pendidikan,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
46,7700000,4,0,707,4500000,46,2,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Macet
46,12800000,3,1,650,3500000,47,2,6,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
25,6800000,1,3,518,3500000,50,2,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
25,6000000,2,2,558,3000000,50,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
44,6000000,2,2,800,6000000,5,4,12,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
49,9900000,3,1,521,3000000,23,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
34,4200000,5,4,731,2500000,50,9,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
26,8000000,3,1,515,4500000,50,5,6,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Lancar
30,7100000,1,3,788,3000000,32,9,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
40,3200000,5,2,660,3000000,22,0,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Macet
47,8500000,9,1,789,4500000,16,3,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Lancar
40,6800000,2,0,482,4500000,31,3,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Lancar
36,4800000,0,0,606,4000000,50,3,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
39,7500000,0,0,528,2000000,45,2,6,Pendidikan,Sewa,Swasta,SMA/Sederajat,Menikah,Lancar
50,7500000,0,1,601,6000000,28,3,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
44,7800000,3,0,648,5000000,11,4,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Macet
25,8500000,3,2,654,6000000,50,3,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
53,6400000,4,2,795,3000000,23,1,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
25,5800000,2,0,643,5500000,50,1,12,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
35,8500000,11,0,850,6000000,5,6,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Macet
26,8900000,2,2,850,1000000,11,3,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
46,5000000,8,1,745,4000000,12,4,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
23,9400000,3,3,603,5000000,50,3,6,Produktif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Lancar
17,6900000,1,0,349,3500000,50,2,12,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Lancar
40,4100000,1,3,349,3000000,25,1,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
42,4900000,0,3,300,4000000,50,3,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
43,6000000,4,1,629,4000000,50,0,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
25,9900000,1,1,840,4500000,50,4,12,Konsumtif,Sewa,Pemerintahan,S2/S3,Menikah,Macet
27,5300000,9,5,813,2500000,50,6,6,Pendidikan,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
23,8500000,0,2,785,4000000,50,5,12,Pendidikan,Sewa,Pemerintahan,S2/S3,Bercerai,Macet
28,6200000,0,2,649,6000000,50,3,12,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
22,7200000,0,1,670,3500000,50,5,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Macet
30,11800000,0,0,744,6000000,42,0,12,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
35,11100000,6,2,694,2500000,50,4,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
33,6800000,0,0,843,5500000,45,4,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Macet
40,5800000,1,1,590,5000000,9,1,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Bercerai,Lancar
38,4800000,3,2,720,4500000,45,2,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Menikah,Lancar
43,5300000,3,0,690,5000000,50,5,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Macet
47,6700000,2,2,850,2500000,13,4,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
35,5300000,0,0,447,2500000,17,3,6,Konsumtif,Sewa,Pemerintahan,S2/S3,Menikah,Lancar
27,5900000,0,3,747,2500000,50,6,12,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
35,5700000,5,3,690,6500000,10,1,6,Produktif,Milik Sendiri,Swasta,S2/S3,Bercerai,Macet
23,9500000,3,3,634,5000000,50,6,12,Produktif,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
35,5100000,8,2,850,4000000,5,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Macet
34,8400000,1,2,400,4500000,50,0,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
32,6400000,0,1,606,1500000,50,1,12,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Lancar
52,10600000,8,3,850,2000000,50,2,12,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
37,5700000,2,2,484,1000000,22,1,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
37,7700000,0,1,583,4000000,50,2,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
38,9800000,2,1,613,6000000,27,0,12,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
47,7700000,11,4,850,4500000,50,7,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
48,11500000,6,0,779,4000000,26,2,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
31,4900000,4,1,850,5500000,50,6,12,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Macet
53,5800000,0,2,597,3500000,5,0,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
42,5900000,3,1,759,5500000,35,1,6,Pendidikan,Sewa,Swasta,Diploma/S1,Menikah,Lancar
45,8900000,7,3,850,4000000,43,1,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Menikah,Lancar
50,8000000,9,0,782,3500000,50,2,12,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
36,7500000,1,2,662,5500000,25,1,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
37,9600000,2,2,646,2500000,50,6,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
32,9400000,1,1,524,4000000,50,5,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Lancar
36,7100000,0,3,485,6000000,50,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Macet
34,9600000,1,1,599,4000000,6,2,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Bercerai,Lancar
34,9200000,3,1,499,4000000,37,9,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
34,4400000,2,2,383,2500000,50,3,12,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Lancar
35,8900000,1,2,395,3000000,26,0,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Macet
23,8700000,0,0,564,0,48,1,6,Konsumtif,Sewa,Swasta,Diploma/S1,Menikah,Lancar
52,10200000,7,1,850,3500000,9,0,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Bercerai,Lancar
32,7300000,7,3,723,3500000,24,2,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Lancar
45,9800000,4,4,602,7500000,28,1,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
28,8000000,1,2,531,6500000,32,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Macet
36,7500000,6,3,850,3000000,26,0,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
35,7400000,4,1,583,2000000,43,2,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Lancar
42,6700000,0,0,454,4500000,26,3,6,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Lancar
33,8500000,5,2,703,2500000,42,1,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
29,9100000,1,1,508,3000000,50,4,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
43,3600000,4,2,431,4000000,14,7,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
35,8700000,5,4,661,6000000,23,1,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
35,6200000,3,2,656,5000000,36,1,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
32,8500000,0,2,566,5000000,50,3,12,Produktif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
38,4500000,0,1,664,2500000,45,1,6,Pendidikan,Sewa,Swasta,S2/S3,Bercerai,Lancar
41,3200000,3,1,685,4000000,50,3,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Macet
33,8800000,1,2,496,1000000,13,1,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
31,5800000,0,2,482,2500000,50,6,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
49,6600000,1,3,850,4500000,50,3,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
41,9300000,6,2,712,5000000,5,0,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Macet
45,6200000,1,0,719,3500000,14,2,12,Produktif,Sewa,Swasta,SMA/Sederajat,Bercerai,Lancar
34,9900000,3,1,497,2000000,34,6,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
39,5300000,2,1,722,5500000,50,5,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
27,11300000,7,0,792,4500000,39,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
36,7400000,2,3,850,4500000,13,1,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
33,6200000,1,3,673,3000000,25,0,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Bercerai,Lancar
51,5600000,14,5,850,2500000,20,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Lancar
40,7900000,15,4,850,4000000,46,11,12,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
39,9500000,1,2,387,4000000,12,3,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
46,2800000,1,2,501,5500000,10,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
34,5800000,1,2,634,2500000,50,2,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
34,9500000,0,0,690,5000000,20,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
26,5500000,3,1,300,6000000,50,1,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
27,4000000,4,2,560,4500000,50,1,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
31,5500000,0,0,495,1500000,33,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Lancar
22,3100000,4,1,850,6000000,50,2,12,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
26,8200000,1,2,398,0,45,1,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Macet
36,6500000,5,3,738,4500000,50,5,6,Pendidikan,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
33,7600000,8,4,759,2000000,50,7,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
27,7700000,1,2,576,4500000,22,0,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Macet
38,10400000,7,5,850,2000000,38,0,6,Pendidikan,Sewa,Swasta,Diploma/S1,Bercerai,Macet
41,2800000,10,3,841,5500000,5,0,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
26,5800000,10,6,850,4000000,50,9,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
38,5100000,7,3,786,4500000,50,4,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
33,4900000,4,3,756,3500000,50,1,6,Pendidikan,Sewa,Swasta,S2/S3,Menikah,Lancar
35,7800000,4,1,850,2000000,49,8,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Macet
16,5700000,3,0,357,3000000,50,6,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
42,8400000,1,2,524,2000000,50,4,6,Produktif,Sewa,Swasta,Diploma/S1,Belum Menikah,Macet
31,8400000,0,1,768,3500000,21,2,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
