Usia,Pendapatan_Bulanan,Lama_Bekerja_Tahun,Jumlah_Tanggungan,Skor_Kredit_Internal,Jumlah_Pinjaman_Diminta,Rasio_Utang_Pendapatan,Jml_Keterlambatan_Bayar_12bln,Durasi_Pinjaman_Bulan,Tujuan_Pinjaman,Status_Kepemilikan_Rumah,Jenis_Pekerjaan,Pendidikan_Terakhir,Status_Pernikahan,Prediksi_Status_Pinjaman
38,5700000,3,1,564,3000000,35,6,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
38,3800000,0,3,380,6000000,29,3,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
32,8000000,2,2,552,4500000,33,0,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
32,10200000,5,2,674,5000000,50,4,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
41,8400000,9,4,850,5000000,50,5,12,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
32,6200000,3,1,505,5000000,39,6,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
32,7100000,0,0,821,2500000,50,5,12,Konsumtif,Sewa,Pemerintahan,S2/S3,Menikah,Macet
27,11800000,0,3,403,6000000,50,4,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
41,8900000,7,2,850,3500000,15,1,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
36,9200000,1,0,839,4000000,50,5,12,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Menikah,Macet
36,5200000,1,2,677,4500000,46,0,12,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
47,7400000,0,2,691,4000000,5,1,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
39,7400000,2,1,605,2500000,36,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Lancar
30,3500000,4,3,761,2500000,39,4,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Macet
41,7700000,3,1,837,3500000,50,4,24,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
41,7600000,4,4,635,4500000,15,2,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
38,2600000,0,2,458,5000000,12,0,6,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Lancar
36,8800000,7,3,748,2000000,48,2,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
46,6500000,4,0,384,3000000,33,5,12,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Lancar
39,8900000,1,2,606,5500000,13,5,6,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
49,6300000,4,1,613,2500000,31,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
37,3000000,0,0,814,500000,50,3,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Bercerai,Macet
39,13800000,7,4,621,3000000,6,3,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
34,9100000,2,1,704,3000000,24,2,6,Pendidikan,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Lancar
32,10100000,2,3,709,5500000,48,4,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Macet
36,6100000,2,1,603,7000000,39,2,6,Pendidikan,Sewa,Swasta,Diploma/S1,Menikah,Lancar
35,7100000,0,1,649,6000000,19,1,6,Produktif,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
33,8700000,2,1,653,5000000,50,4,12,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Lancar
47,5500000,2,3,413,6000000,45,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
39,7100000,0,1,601,4000000,31,1,12,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Lancar
45,10300000,7,2,817,3000000,38,0,12,Produktif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Lancar
32,3400000,4,4,621,5000000,8,0,12,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
40,6000000,0,0,737,3500000,50,5,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Bercerai,Macet
24,8200000,0,2,543,1000000,50,2,12,Produktif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
44,7200000,5,2,753,2500000,36,1,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Lancar
52,8500000,2,3,386,4500000,11,1,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
38,3300000,3,1,723,4000000,50,8,12,Pendidikan,Sewa,Swasta,Diploma/S1,Bercerai,Macet
29,6300000,0,0,453,2500000,50,2,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
49,4800000,2,2,773,6500000,50,2,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
36,6400000,6,1,850,4500000,50,8,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Macet
39,8600000,0,1,850,4000000,19,1,6,Konsumtif,Sewa,Swasta,Diploma/S1,Bercerai,Lancar
33,8500000,1,0,511,5500000,15,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
42,3700000,0,2,442,2500000,50,3,6,Pendidikan,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
46,6300000,2,0,651,3000000,16,3,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Bercerai,Lancar
35,9300000,7,2,734,3500000,21,0,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
33,7900000,0,1,300,3000000,42,3,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
44,7400000,5,0,380,3000000,31,7,12,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
50,8800000,0,2,601,3500000,16,0,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
58,9200000,1,1,427,3000000,5,7,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
22,9200000,8,3,655,4500000,5,9,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Menikah,Lancar
33,2700000,0,3,520,3000000,47,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
27,8500000,10,6,850,5000000,50,5,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
44,5600000,4,2,767,3500000,50,5,6,Pendidikan,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
43,8300000,0,1,835,4000000,21,0,6,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Bercerai,Lancar
35,12000000,2,0,850,3000000,39,3,12,Produktif,Sewa,Swasta,SMA/Sederajat,Bercerai,Macet
28,4600000,2,2,438,3000000,38,0,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
20,9400000,2,1,552,5500000,50,11,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
27,5900000,5,3,850,3500000,50,8,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
47,5900000,14,1,850,6000000,38,0,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
38,5400000,5,0,650,3000000,31,3,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Bercerai,Lancar
30,7200000,0,1,748,3500000,50,2,6,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Menikah,Macet
38,9000000,9,4,776,3500000,50,10,12,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
48,5500000,5,3,300,5000000,48,5,12,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
38,7600000,4,1,717,4000000,50,3,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
46,8200000,4,4,362,1500000,9,2,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
32,6500000,9,3,850,5500000,15,2,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Macet
36,2600000,3,1,623,3000000,50,4,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
38,4600000,1,2,550,2000000,33,0,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Lancar
31,8700000,6,4,711,3500000,50,1,12,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
34,11300000,4,2,719,4500000,50,3,6,Konsumtif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Macet
31,6600000,5,0,300,5000000,50,11,12,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Lancar
22,5700000,3,1,483,4000000,47,0,12,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
31,8500000,3,3,479,4500000,31,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
44,7000000,2,4,727,4000000,9,4,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
21,9800000,1,4,396,2000000,48,0,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Macet
29,6300000,3,0,614,1500000,45,5,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
35,8000000,3,0,676,2000000,31,1,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Macet
34,8000000,2,1,694,3500000,31,0,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
52,5900000,5,0,730,4500000,16,1,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
44,7200000,6,3,828,2000000,50,3,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Menikah,Lancar
28,6800000,0,1,597,2500000,50,6,6,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
26,3800000,3,3,704,4000000,30,0,6,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
38,9500000,0,2,608,5000000,50,5,6,Pendidikan,Sewa,Swasta,Diploma/S1,Menikah,Macet
38,5300000,3,0,761,3500000,18,4,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
31,5500000,0,2,548,3500000,44,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Bercerai,Macet
29,9300000,2,2,797,4000000,8,0,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
17,3900000,1,1,656,3500000,39,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
19,7000000,3,0,698,4000000,50,6,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
40,7600000,9,0,850,4500000,6,5,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Macet
57,10700000,0,2,585,2500000,7,0,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
31,9800000,0,2,737,5000000,50,3,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Menikah,Macet
45,7100000,4,3,720,4500000,27,1,6,Produktif,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
48,9300000,0,4,850,2000000,50,1,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
39,8200000,0,2,850,4000000,33,4,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
19,7100000,6,4,522,2500000,50,2,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
30,4800000,0,3,501,4500000,50,3,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
39,5800000,3,1,655,4000000,50,1,12,Produktif,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
30,9100000,8,4,777,7000000,42,2,6,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Lancar
39,8500000,1,0,778,3000000,45,2,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Bercerai,Macet
49,9600000,1,2,521,3000000,5,3,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
41,5600000,0,2,300,3000000,41,0,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Lancar
30,5900000,2,1,747,9500000,50,3,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Bercerai,Lancar
32,9300000,10,2,850,5500000,6,2,6,Produktif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
47,6800000,1,2,300,5500000,45,1,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Belum Menikah,Macet
41,4700000,6,2,807,3000000,50,4,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
52,7200000,8,1,682,4500000,8,3,6,Konsumtif,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
39,5700000,4,3,850,1000000,39,5,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Macet
26,6200000,4,1,762,4000000,50,3,6,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
45,8100000,6,3,840,5500000,19,9,6,Konsumtif,Sewa,Swasta,Diploma/S1,Bercerai,Lancar
32,5500000,4,1,553,2500000,50,0,12,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
38,7300000,9,4,850,6500000,50,3,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
39,7800000,2,0,690,4500000,50,2,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Macet
40,8000000,3,1,797,4500000,47,6,12,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Macet
44,7300000,1,1,378,5000000,50,2,12,Produktif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
45,7200000,0,2,300,5000000,50,1,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
34,6800000,6,1,762,3000000,24,2,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Macet
31,8100000,3,3,850,5500000,5,2,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
44,7700000,2,1,718,4500000,40,1,12,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
39,5900000,3,4,660,4000000,50,2,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
25,8500000,0,1,447,4500000,50,5,6,Produktif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
40,6800000,7,3,728,3500000,23,2,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Lancar
54,8400000,2,0,755,5500000,5,3,12,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
37,6500000,5,3,676,2000000,38,4,12,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
47,4400000,0,2,420,2000000,23,4,6,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
34,5700000,5,3,675,3500000,50,7,6,Pendidikan,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Lancar
47,4700000,9,3,850,4000000,50,6,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
25,300000,4,1,694,4000000,13,1,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Macet
45,4100000,5,3,833,6500000,45,2,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
38,8500000,0,2,850,4000000,11,2,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
43,8100000,2,3,503,3500000,49,0,6,Produktif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Macet
36,6000000,1,2,475,3000000,5,2,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
23,9200000,4,0,352,3000000,50,0,12,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
40,5800000,3,0,710,5000000,44,2,6,Konsumtif,Sewa,Swasta,Diploma/S1,Belum Menikah,Macet
39,6800000,1,0,717,6500000,36,2,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Lancar
39,7800000,3,0,850,4000000,50,11,12,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
45,7200000,8,5,612,1000000,10,8,6,Konsumtif,Milik Sendiri,Swasta,S2/S3,Menikah,Lancar
28,9600000,5,3,678,3000000,50,3,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
36,6200000,3,2,665,5000000,50,1,6,Produktif,Sewa,Pemerintahan,S2/S3,Menikah,Macet
37,9800000,0,1,524,6000000,50,4,6,Produktif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
27,9500000,0,1,716,1000000,50,2,12,Konsumtif,Sewa,Swasta,Diploma/S1,Belum Menikah,Macet
35,10100000,1,1,524,2500000,50,7,6,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
32,8600000,4,2,668,500000,50,6,6,Produktif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
34,9100000,1,1,598,6500000,50,4,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Lancar
41,9900000,10,1,850,5000000,9,0,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Macet
41,6500000,5,3,618,8500000,13,0,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
56,5200000,2,4,685,2000000,9,0,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
37,6600000,9,5,850,6500000,44,3,6,Pendidikan,Sewa,Swasta,S2/S3,Menikah,Lancar
50,6300000,5,3,850,0,35,1,12,Pendidikan,Sewa,Pemerintahan,S2/S3,Bercerai,Lancar
40,9300000,1,1,544,4500000,40,2,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
39,5800000,2,1,494,5500000,42,2,12,Konsumtif,Milik Sendiri,Swasta,S2/S3,Belum Menikah,Lancar
25,6900000,2,3,600,5500000,50,7,12,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
34,6300000,1,1,586,4500000,50,3,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
37,5500000,0,1,492,3500000,6,1,6,Produktif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
24,9200000,3,1,850,5000000,50,3,12,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Bercerai,Macet
49,8600000,4,1,631,5500000,31,0,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
35,9200000,4,0,815,4000000,50,6,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Macet
41,12500000,6,2,850,7500000,27,5,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Macet
33,8400000,4,2,649,4500000,40,1,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
39,6400000,5,4,582,4000000,5,2,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Macet
40,4900000,2,0,736,1000000,50,4,6,Produktif,Sewa,Wiraswasta,S2/S3,Bercerai,Macet
36,9500000,3,3,428,3500000,34,1,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Macet
38,11000000,4,2,695,3000000,50,2,12,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
38,5700000,1,0,528,4500000,34,0,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
48,5700000,7,2,850,6000000,33,0,12,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
36,6100000,12,5,850,3000000,43,6,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Lancar
27,10200000,4,2,587,3000000,42,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Macet
37,3500000,5,1,695,3000000,18,0,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Macet
38,9600000,0,2,656,4000000,30,1,6,Pendidikan,Sewa,Swasta,S2/S3,Bercerai,Lancar
51,9500000,2,2,711,3000000,12,4,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
52,3700000,6,2,829,6000000,50,6,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
32,7500000,2,3,722,5000000,50,7,12,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Macet
38,7400000,0,1,619,3000000,48,0,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Menikah,Lancar
52,4400000,4,1,754,4000000,50,1,12,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
37,2500000,2,5,402,5000000,50,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Macet
41,6300000,7,1,703,2500000,5,2,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
39,2700000,2,4,417,2500000,50,2,6,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
57,5600000,2,3,589,3000000,17,5,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
33,8500000,0,1,624,3500000,50,4,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Macet
31,4600000,0,2,660,5000000,47,1,12,Produktif,Sewa,Wiraswasta,S2/S3,Bercerai,Lancar
44,6500000,3,0,591,2500000,5,2,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
34,6300000,1,1,579,5500000,12,0,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
48,5600000,15,5,850,500000,23,5,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
19,7600000,2,0,469,2500000,46,5,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
21,11500000,6,2,536,4000000,50,5,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Lancar
41,9500000,5,1,759,0,9,3,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Macet
32,8400000,7,3,729,2500000,50,4,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
38,6600000,10,0,850,3000000,32,6,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Macet
44,6500000,4,1,610,3500000,5,0,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
29,7900000,3,2,586,4000000,5,3,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
33,6000000,12,3,850,3000000,40,1,12,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
26,7200000,6,2,826,4000000,16,6,12,Konsumtif,Sewa,Wiraswasta,S2/S3,Bercerai,Lancar
35,7000000,1,1,518,6500000,32,1,6,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Lancar
40,8600000,8,3,691,4500000,50,7,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
39,4500000,2,0,539,5500000,43,0,6,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
38,6500000,7,3,850,3000000,50,1,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Menikah,Lancar
49,8500000,3,2,585,5000000,41,0,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
53,8100000,2,4,478,3000000,43,2,6,Konsumtif,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Macet
38,7700000,2,2,350,5000000,50,4,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Macet
34,5900000,3,2,672,3500000,26,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Macet
35,5700000,1,1,560,3000000,50,2,12,Produktif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
30,6100000,6,2,628,4000000,38,5,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
49,6500000,0,2,300,3000000,28,1,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Lancar
38,8000000,5,0,783,5000000,29,1,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
41,8600000,5,2,658,3000000,5,0,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
32,5800000,3,2,849,3500000,50,7,12,Produktif,Sewa,Swasta,SMA/Sederajat,Bercerai,Macet
31,4900000,2,3,411,4000000,48,1,6,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
42,6500000,0,1,403,5000000,30,0,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
20,6500000,0,1,841,5000000,40,3,12,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
33,6500000,3,2,633,5500000,50,3,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
39,8800000,3,3,543,3000000,20,0,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
21,5400000,6,1,734,6000000,25,2,6,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
41,7300000,7,3,849,4500000,23,0,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Macet
30,7100000,0,3,540,4500000,50,4,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
36,8800000,3,0,847,2000000,50,8,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
43,9200000,1,2,552,5500000,37,4,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
39,2700000,0,0,525,5500000,50,2,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Lancar
35,9500000,9,3,845,5000000,15,1,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Lancar
32,11000000,2,2,748,3000000,50,6,6,Produktif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
21,5900000,1,5,300,3000000,13,2,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Macet
